Consumer No,Previous Bill Date,Previous Reading,Current Bill Date,Current Reading,Consumed Unit,Power Factor,New Consumed Unit,MF,Billed Unit,Consumption Day,Due Date,Energy Breakup,Energy Charge,Subsidy,Total Energy Charge,Fixed Charge,Meter Rent,Electricity Duty,FPPPA,Current Demand,Principal Arrear,Arrear Surcharge,Current Surcharge,Total Arrear,Adjustment,Net Bill Amount,Net Bill Amount After Due Date
022000014596,03-05-2017,4077,22-08-2017,4076,28,0,28,1,28,111,06-09-2017,[["1"->"28"->"5.65"->"158.20"]],158.2,28.28,129.92,109.4,0.0,2.8,0.0,242.12,1.0,0.0,0.0,1.0,0,243.0,247.0
022000014596,03-05-2017,4077,22-08-2017,4077,0,0,0,1,0,111,06-09-2017,[["1"->"0"->"5.65"->"0.00"]],0.0,0.0,0.0,109.4,0.0,0.0,0.0,109.4,1.0,0.0,0.0,1.0,0,110.0,112.0
022000014596,03-05-2017,4077,22-08-2017,4078,1,0,1,1,1,111,06-09-2017,[["1"->"1"->"5.65"->"5.65"]],5.65,1.01,4.6400003,109.4,0.0,0.1,0.0,114.14,1.0,0.0,0.0,1.0,0,115.0,117.0
022000014596,03-05-2017,4077,22-08-2017,4082,5,0,5,1,5,111,06-09-2017,[["1"->"5"->"5.65"->"28.25"]],28.25,5.05,23.2,109.4,0.0,0.5,0.0,133.1,1.0,0.0,0.0,1.0,0,134.0,136.0
022000014596,03-05-2017,4077,22-08-2017,4087,10,0,10,1,10,111,06-09-2017,[["1"->"10"->"5.65"->"56.50"]],56.5,10.1,46.4,109.4,0.0,1.0,0.0,156.8,1.0,0.0,0.0,1.0,0,158.0,160.0
022000014596,03-05-2017,4077,22-08-2017,4127,50,0,50,1,50,111,06-09-2017,[["1"->"50"->"5.65"->"282.50"]],282.5,50.5,232.0,109.4,0.0,5.0,0.0,346.4,1.0,0.0,0.0,1.0,0,347.0,352.0
022000014596,03-05-2017,4077,22-08-2017,4177,100,0,100,1,100,111,06-09-2017,[["1"->"100"->"5.65"->"565.00"]],565.0,101.0,464.0,109.4,0.0,10.0,0.0,583.4,1.0,0.0,0.0,1.0,0,584.0,593.0
022000014596,03-05-2017,4077,22-08-2017,4577,500,0,500,1,500,111,06-09-2017,[["1"->"444"->"5.65"->"2508.60"]->["2"->"56"->"6.90"->"386.40"]],2895.0,448.44,2446.56,109.4,0.0,50.0,0.0,2605.96,1.0,0.0,0.0,1.0,0,2607.0,2646.0
022000014596,03-05-2017,4077,22-08-2017,5077,1000,0,1000,1,1000,111,06-09-2017,[["1"->"444"->"5.65"->"2508.60"]->["2"->"444"->"6.90"->"3063.60"]->["3"->"112"->"7.90"->"884.80"]],6457.0,448.44,6008.56,109.4,0.0,100.0,0.0,6217.96,1.0,0.0,0.0,1.0,0,6219.0,6312.0
022000014596,03-05-2017,4077,22-08-2017,9077,5000,0,5000,1,5000,111,06-09-2017,[["1"->"444"->"5.65"->"2508.60"]->["2"->"444"->"6.90"->"3063.60"]->["3"->"4112"->"7.90"->"32484.80"]],38057.0,448.44,37608.56,109.4,0.0,500.0,0.0,38217.96,1.0,0.0,0.0,1.0,0,38219.0,38792.0
022000014596,03-05-2017,4077,22-08-2017,14077,10000,0,10000,1,10000,111,06-09-2017,[["1"->"444"->"5.65"->"2508.60"]->["2"->"444"->"6.90"->"3063.60"]->["3"->"9112"->"7.90"->"71984.8"]],77557.0,448.44,77108.56,109.4,0.0,1000.0,0.0,78217.96,1.0,0.0,0.0,1.0,0,78219.0,79392.0
022000014596,03-05-2017,4077,22-08-2017,54077,50000,0,50000,1,50000,111,06-09-2017,[["1"->"444"->"5.65"->"2508.60"]->["2"->"444"->"6.90"->"3063.60"]->["3"->"49112"->"7.90"->"387984.80"]],393557.0,448.44,393108.56,109.4,0.0,5000.0,0.0,398217.97,1.0,0.0,0.0,1.0,0,398219.0,404192.0
022000014596,03-05-2017,4077,22-08-2017,104077,100000,0,100000,1,100000,111,06-09-2017,[["1"->"444"->"5.65"->"2508.60"]->["2"->"444"->"6.90"->"3063.60"]->["3"->"99112"->"7.90"->"782984.80"]],788556.94,448.44,788108.5,109.4,0.0,10000.0,0.0,798217.9,1.0,0.0,0.0,1.0,0,798219.0,810192.0
022000014596,03-05-2017,4077,22-08-2017,504077,500000,0,500000,1,500000,111,06-09-2017,[["1"->"444"->"5.65"->"2508.60"]->["2"->"444"->"6.90"->"3063.60"]->["3"->"499112"->"7.90"->"3942984.8"]],3948556.8,448.44,3948108.3,109.4,0.0,50000.0,0.0,3998217.8,1.0,0.0,0.0,1.0,0,3998219.0,4058192.0
022000014596,03-05-2017,4077,22-08-2017,1004077,1000000,0,1000000,1,1000000,111,06-09-2017,[["1"->"444"->"5.65"->"2508.60"]->["2"->"444"->"6.90"->"3063.60"]->["3"->"999112"->"7.90"->"7892985.0"]],7898557.5,448.44,7898109.0,109.4,0.0,100000.0,0.0,7998218.5,1.0,0.0,0.0,1.0,0,7998220.0,8118194.0
